Date	Time	Number	Destination Number	Duration	Service Provider
26 Sep 2006	16:13	863 555 0143	863 555 0171	0:11:24	Car Fones
16 Sep 2006	19:11	863 555 0143	863 555 0175	0:11:04	Car Fones
24 Sep 2006	12:10	863 555 0143	863 555 0133	0:11:50	Omega
01 Oct 2006	19:09	863 555 0143	863 555 0150	0:06:24	123 Talk
17 Sep 2006	20:43	863 555 0143	863 555 0186	0:07:22	123 Talk
22 Sep 2006	22:23	863 555 0143	863 555 0177	0:04:43	General Phones
14 Sep 2006	16:01	863 555 0143	863 555 0159	0:05:13	Car Fones
17 Sep 2006	15:47	863 555 0143	863 555 0138	0:10:18	Omega
18 Sep 2006	09:56	863 555 0143	863 555 0126	0:10:39	123 Talk
29 Sep 2006	16:17	863 555 0143	863 555 0134	0:13:03	ABC Cellphones
03 Sep 2006	18:38	863 555 0143	863 555 0164	0:12:45	General Phones
28 Sep 2006	13:52	863 555 0143	863 555 0198	0:13:12	ABC Cellphones
27 Sep 2006	16:38	863 555 0143	863 555 0120	0:12:25	Omega
04 Sep 2006	12:05	863 555 0143	863 555 0103	0:03:16	Omega
16 Sep 2006	17:15	863 555 0143	863 555 0116	0:10:31	ABC Cellphones
29 Sep 2006	18:53	863 555 0143	863 555 0102	0:09:37	Omega
29 Sep 2006	17:48	863 555 0143	863 555 0120	0:08:58	Omega
20 Sep 2006	23:39	863 555 0143	863 555 0108	0:11:13	Omega
03 Sep 2006	16:07	863 555 0143	863 555 0138	0:08:43	Omega
01 Oct 2006	15:13	863 555 0143	863 555 0172	0:11:44	ABC Cellphones
24 Sep 2006	23:44	863 555 0143	863 555 0125	0:03:25	ABC Cellphones
08 Sep 2006	09:41	863 555 0143	863 555 0103	0:03:16	Omega
09 Sep 2006	20:13	863 555 0143	863 555 0198	0:06:48	ABC Cellphones
25 Sep 2006	15:05	863 555 0143	863 555 0175	0:03:58	Car Fones
12 Sep 2006	21:17	863 555 0143	863 555 0129	0:10:22	General Phones
25 Sep 2006	14:25	863 555 0143	863 555 0172	0:11:38	ABC Cellphones
26 Sep 2006	17:43	863 555 0143	863 555 0119	0:11:40	Car Fones
17 Sep 2006	21:16	863 555 0143	863 555 0114	0:08:17	Omega
05 Sep 2006	10:29	863 555 0143	863 555 0196	0:03:35	123 Talk
26 Sep 2006	12:21	863 555 0143	863 555 0130	0:04:26	ABC Cellphones
26 Sep 2006	11:03	863 555 0143	863 555 0109	0:10:55	Omega
10 Sep 2006	23:37	863 555 0143	863 555 0167	0:08:43	Car Fones
26 Sep 2006	15:12	863 555 0143	863 555 0157	0:10:45	Omega
30 Sep 2006	11:35	863 555 0143	863 555 0182	0:08:31	123 Talk
05 Sep 2006	21:52	863 555 0143	863 555 0130	0:04:26	ABC Cellphones
23 Sep 2006	14:18	863 555 0143	863 555 0137	0:10:48	General Phones
19 Sep 2006	22:25	863 555 0143	863 555 0133	0:07:04	Omega
16 Sep 2006	10:54	863 555 0143	863 555 0183	0:15:00	Omega
07 Sep 2006	09:47	863 555 0143	863 555 0186	0:06:12	123 Talk
29 Sep 2006	21:45	863 555 0143	863 555 0132	0:07:55	ABC Cellphones
11 Sep 2006	15:15	863 555 0143	863 555 0185	0:04:00	General Phones
